Player Name,Country,Role,Base_Price,Selling_Price,Team,Bid,Team_ID
Mahipal Lomror,India,ALL-ROUNDER,4000000,9500000,Royal Challengers Bangalore,SOLD,RCB
K Gowtham,India,ALL-ROUNDER,5000000,9000000,Lucknow Super Giants,SOLD,LSG
Kagiso Rabada,South Africa,BOWLER,20000000,92500000,Punjab Kings,SOLD,PK
Shahrukh Khan,India,ALL-ROUNDER,4000000,90000000,Punjab Kings,SOLD,PK
Rahul Tewatia,India,ALL-ROUNDER,4000000,90000000,Gujarat Titans,SOLD,GT
Finn Allen,New Zealand,BATSMAN,5000000,8000000,Royal Challengers Bangalore,SOLD,RCB
Jason Holder,West Indies,ALL-ROUNDER,15000000,87500000,Lucknow Super Giants,SOLD,LSG
Washington Sundar,India,ALL-ROUNDER,15000000,87500000,Sunrisers Hyderabad,SOLD,SRH
Shimron Hetmyer,West Indies,BATSMAN,15000000,85000000,Rajasthan Royals,SOLD,RR
Rahul Tripathi,India,BATSMAN,4000000,85000000,Sunrisers Hyderabad,SOLD,SRH
Shikhar Dhawan,India,BATSMAN,20000000,82500000,Punjab Kings,SOLD,PK
Krunal Pandya,India,ALL-ROUNDER,20000000,82500000,Lucknow Super Giants,SOLD,LSG
Tim David,Australia,ALL-ROUNDER,4000000,82500000,Mumbai Indians,SOLD,MI
Nitish Rana,India,ALL-ROUNDER,10000000,80000000,Kolkata Knight Riders,SOLD,KKR
Trent Boult,New Zealand,BOWLER,20000000,80000000,Rajasthan Royals,SOLD,RR
Jofra Archer,England,ALL-ROUNDER,20000000,80000000,Mumbai Indians,SOLD,MI
Shreyas Gopal,India,BOWLER,2000000,7500000,Sunrisers Hyderabad,SOLD,SRH
Daryl Mitchell,New Zealand,ALL-ROUNDER,7500000,7500000,Rajasthan Royals,SOLD,RR
Jason Behrendorff,Australia,BOWLER,7500000,7500000,Royal Challengers Bangalore,SOLD,RCB
Nathan Ellis,Australia,BOWLER,7500000,7500000,Punjab Kings,SOLD,PK
Siddharth Kaul,India,BOWLER,7500000,7500000,Royal Challengers Bangalore,SOLD,RCB
Obed Mccoy,West Indies,BOWLER,7500000,7500000,Rajasthan Royals,SOLD,RR
Fabian Allen,West Indies,ALL-ROUNDER,7500000,7500000,Mumbai Indians,SOLD,MI
Maheesh Theekshana,Sri Lanka,BOWLER,5000000,7000000,Chennai Super Kings,SOLD,CSK
Devdutt Padikkal,India,BATSMAN,20000000,77500000,Rajasthan Royals,SOLD,RR
Josh Hazlewood,Australia,BOWLER,20000000,77500000,Royal Challengers Bangalore,SOLD,RCB
Romario Shepherd,West Indies,ALL-ROUNDER,7500000,77500000,Sunrisers Hyderabad,SOLD,SRH
Mark Wood,England,BOWLER,20000000,75000000,Lucknow Super Giants,SOLD,LSG
Pat Cummins,Australia,ALL-ROUNDER,20000000,72500000,Kolkata Knight Riders,SOLD,KKR
Shivam Mavi,India,ALL-ROUNDER,4000000,72500000,Kolkata Knight Riders,SOLD,KKR
Faf Du Plessis,South Africa,BATSMAN,20000000,70000000,Royal Challengers Bangalore,SOLD,RCB
Lalit Yadav,India,ALL-ROUNDER,2000000,6500000,Delhi Capitals,SOLD,DC
Lalit Yadav,India,BOWLER,2000000,6500000,Delhi Capitals,SOLD,DC
Mayank Markande,India,BOWLER,5000000,6500000,Mumbai Indians,SOLD,MI
Prabhsimran Singh,India,WICKETKEEPER,2000000,6000000,Punjab Kings,SOLD,PK
Sheldon Jackson,India,WICKETKEEPER,3000000,6000000,Kolkata Knight Riders,SOLD,KKR
Jonny Bairstow,England,WICKETKEEPER,15000000,67500000,Punjab Kings,SOLD,PK
Quinton De Kock,South Africa,WICKETKEEPER,20000000,67500000,Lucknow Super Giants,SOLD,LSG
Ambati Rayudu,India,WICKETKEEPER,20000000,67500000,Chennai Super Kings,SOLD,CSK
Mitchell Marsh,Australia,ALL-ROUNDER,20000000,65000000,Delhi Capitals,SOLD,DC
Yuzvendra Chahal,India,BOWLER,20000000,65000000,Rajasthan Royals,SOLD,RR
Abhishek Sharma,India,ALL-ROUNDER,2000000,65000000,Sunrisers Hyderabad,SOLD,SRH
Mohammad Shami,India,BOWLER,20000000,62500000,Gujarat Titans,SOLD,GT
David Warner,Australia,BATSMAN,20000000,62500000,Delhi Capitals,SOLD,DC
Odean Smith,West Indies,ALL-ROUNDER,10000000,60000000,Punjab Kings,SOLD,PK
Rinku Singh,India,BATSMAN,2000000,5500000,Kolkata Knight Riders,SOLD,KKR
Ashok Sharma,India,BOWLER,2000000,5500000,Kolkata Knight Riders,SOLD,KKR
Rishi Dhawan,India,ALL-ROUNDER,5000000,5500000,Punjab Kings,SOLD,PK
Vishnu Vinod,India,WICKETKEEPER,2000000,5000000,Sunrisers Hyderabad,SOLD,SRH
Ankit Singh Rajpoot,India,BOWLER,2000000,5000000,Lucknow Super Giants,SOLD,LSG
Yash Dhull,India,ALL-ROUNDER,2000000,5000000,Delhi Capitals,SOLD,DC
Sanjay Yadav,India,ALL-ROUNDER,2000000,5000000,Mumbai Indians,SOLD,MI
Pravin Dubey,India,ALL-ROUNDER,2000000,5000000,Delhi Capitals,SOLD,DC
Lungisani Ngidi,South Africa,BOWLER,5000000,5000000,Delhi Capitals,SOLD,DC
Sandeep Sharma,India,BOWLER,5000000,5000000,Punjab Kings,SOLD,PK
Shahbaz Nadeem,India,BOWLER,5000000,5000000,Lucknow Super Giants,SOLD,LSG
Karn Sharma,India,BOWLER,5000000,5000000,Royal Challengers Bangalore,SOLD,RCB
Dwaine Pretorius,South Africa,ALL-ROUNDER,5000000,5000000,Chennai Super Kings,SOLD,CSK
Tim Seifert,New Zealand,WICKETKEEPER,5000000,5000000,Delhi Capitals,SOLD,DC
Fazalhaq Farooqi,Afghanistan,BOWLER,5000000,5000000,Sunrisers Hyderabad,SOLD,SRH
Bhanuka Rajapaksa,Sri Lanka,BATSMAN,5000000,5000000,Punjab Kings,SOLD,PK
Gurkeerat Singh,India,ALL-ROUNDER,5000000,5000000,Gujarat Titans,SOLD,GT
